Rd,Home,HS,VS,Visiting
18,Μ.Γ.Σ.Εθνικός,0,3,Π.Α.Ο.Κ. 
18,Ηρακλής Πετ.,3,0,Α.Ε.Κομοτηνής
18,Γ.Α.Σ.Παμβοχαϊκός,3,2,Α.Ε.Κ. 
19,Ολυμπιακός Σ.Φ.Π.,3,0,Μ.Γ.Σ.Εθνικός
19,Παναθηναϊκός Α.Ο.,3,2,Γ.Α.Σ.Παμβοχαϊκός 
19,Π.Α.Ο.Κ.,3,0,Α.Ο.Π.Κηφισιάς
19,Α.Ε.Κ.,0,3,Α.Ο.Φοίνικας
20,Μ.Γ.Σ.Εθνικός,0,3,Α.Ε.Κ. 
20,Α.Ο.Φοίνικας,0,3,Παναθηναϊκός Α.Ο.
20,Γ.Α.Σ.Παμβοχαϊκός,3,0,Α.Ε.Κομοτηνής
20,Α.Ο.Π.Κηφισιάς,3,1,Ολυμπιακός Σ.Φ.Π.
21,Α.Ε.Κομοτηνής,1,3,Α.Ο.Φοίνικας
21,Ολυμπιακός Σ.Φ.Π.,3,1,Π.Α.Ο.Κ. 
21,Α.Ε.Κ.,1,3,Α.Ο.Π.Κηφισιάς
21,Παναθηναϊκός Α.Ο.,3,1,Μ.Γ.Σ.Εθνικός
21,Ηρακλής Πετ.,3,1,Γ.Α.Σ.Παμβοχαϊκός 
22,Α.Ο.Φοίνικας,2,3,Ηρακλής Πετ.
22,Μ.Γ.Σ.Εθνικός,3,0,Α.Ε.Κομοτηνής
22,Α.Ο.Π.Κηφισιάς,2,3,Παναθηναϊκός Α.Ο.
22,Π.Α.Ο.Κ.,3,0,Α.Ε.Κ.
